[2025-03-14 21:35:59,367] [INFO] - === 开始清理 2024-07-01 的数据 ===
[2025-03-14 21:36:15,503] [INFO] - === 开始清理 2024-07-01 的数据 ===
[2025-03-14 21:36:15,778] [INFO] - 表 `guestcheckdetailssumrow` 清理完成，影响行数：0
[2025-03-14 21:36:15,779] [INFO] - 表 `guestcheckdetails` 清理完成，影响行数：0
[2025-03-14 21:36:15,781] [INFO] - 表 `guestcheck` 清理完成，影响行数：0
[2025-03-14 21:36:15,782] [INFO] - === 清理数据成功 ===
[2025-03-14 21:36:15,784] [INFO] - === 结束清理数据 ===
[2025-03-14 21:36:15,784] [INFO] - === 开始同步数据 ===
[2025-03-14 21:36:16,352] [INFO] - Oracle 数据库连接成功
[2025-03-14 21:36:16,356] [INFO] - MySQL 数据库连接成功
[2025-03-14 21:36:16,527] [INFO] - 从 Oracle 获取 58 条主表记录
[2025-03-14 21:36:16,628] [INFO] - 主表数据同步完成
[2025-03-14 21:36:16,963] [INFO] - G_C_ID = 1029382-512457从表数据共 7 条
[2025-03-14 21:36:16,984] [INFO] - G_C_ID = 1029382-512457从表SUM数据共 1 条
[2025-03-14 21:36:17,080] [INFO] - G_C_ID = 1029263-512455从表数据共 4 条
[2025-03-14 21:36:17,100] [INFO] - G_C_ID = 1029263-512455从表SUM数据共 1 条
[2025-03-14 21:36:17,200] [INFO] - G_C_ID = 1029255-512453从表数据共 7 条
[2025-03-14 21:36:17,229] [INFO] - G_C_ID = 1029255-512453从表SUM数据共 1 条
[2025-03-14 21:36:17,328] [INFO] - G_C_ID = 1029056-512452从表数据共 5 条
[2025-03-14 21:36:17,349] [INFO] - G_C_ID = 1029056-512452从表SUM数据共 1 条
[2025-03-14 21:36:17,442] [INFO] - G_C_ID = 1029256-512454从表数据共 9 条
[2025-03-14 21:36:17,456] [INFO] - G_C_ID = 1029256-512454从表SUM数据共 1 条
[2025-03-14 21:36:17,553] [INFO] - G_C_ID = 1029379-512456从表数据共 7 条
[2025-03-14 21:36:17,567] [INFO] - G_C_ID = 1029379-512456从表SUM数据共 1 条
[2025-03-14 21:36:17,659] [INFO] - G_C_ID = 1029365-36970从表数据共 5 条
[2025-03-14 21:36:17,671] [INFO] - G_C_ID = 1029365-36970从表SUM数据共 1 条
[2025-03-14 21:36:17,761] [INFO] - G_C_ID = 1029360-36969从表数据共 3 条
[2025-03-14 21:36:17,769] [INFO] - G_C_ID = 1029360-36969从表SUM数据共 1 条
[2025-03-14 21:36:17,860] [INFO] - G_C_ID = 1029090-36962从表数据共 4 条
[2025-03-14 21:36:17,872] [INFO] - G_C_ID = 1029090-36962从表SUM数据共 1 条
[2025-03-14 21:36:17,965] [INFO] - G_C_ID = 1029077-36959从表数据共 3 条
[2025-03-14 21:36:17,977] [INFO] - G_C_ID = 1029077-36959从表SUM数据共 1 条
[2025-03-14 21:36:18,077] [INFO] - G_C_ID = 1029371-36972从表数据共 18 条
[2025-03-14 21:36:18,101] [INFO] - G_C_ID = 1029371-36972从表SUM数据共 1 条
[2025-03-14 21:36:18,192] [INFO] - G_C_ID = 1029357-36966从表数据共 5 条
[2025-03-14 21:36:18,205] [INFO] - G_C_ID = 1029357-36966从表SUM数据共 1 条
[2025-03-14 21:36:18,299] [INFO] - G_C_ID = 1029078-36960从表数据共 12 条
[2025-03-14 21:36:18,322] [INFO] - G_C_ID = 1029078-36960从表SUM数据共 1 条
[2025-03-14 21:36:18,416] [WARN] - G_C_ID = 1029061-36957 没有对应的从表数据
[2025-03-14 21:36:18,416] [INFO] - G_C_ID = 1029061-36957从表SUM数据共 1 条
[2025-03-14 21:36:18,519] [INFO] - G_C_ID = 1029064-36958从表数据共 4 条
[2025-03-14 21:36:18,562] [INFO] - G_C_ID = 1029064-36958从表SUM数据共 1 条
[2025-03-14 21:36:18,663] [INFO] - G_C_ID = 1029359-36968从表数据共 6 条
[2025-03-14 21:36:18,674] [INFO] - G_C_ID = 1029359-36968从表SUM数据共 1 条
[2025-03-14 21:36:18,768] [WARN] - G_C_ID = 1029264-36963 没有对应的从表数据
[2025-03-14 21:36:18,768] [INFO] - G_C_ID = 1029264-36963从表SUM数据共 1 条
[2025-03-14 21:36:18,863] [INFO] - G_C_ID = 1029358-36967从表数据共 3 条
[2025-03-14 21:36:18,873] [INFO] - G_C_ID = 1029358-36967从表SUM数据共 1 条
[2025-03-14 21:36:18,964] [INFO] - G_C_ID = 1029058-36955从表数据共 5 条
[2025-03-14 21:36:18,976] [INFO] - G_C_ID = 1029058-36955从表SUM数据共 1 条
[2025-03-14 21:36:19,067] [INFO] - G_C_ID = 1029083-36961从表数据共 6 条
[2025-03-14 21:36:19,079] [INFO] - G_C_ID = 1029083-36961从表SUM数据共 1 条
[2025-03-14 21:36:19,171] [INFO] - G_C_ID = 1029384-36974从表数据共 14 条
[2025-03-14 21:36:19,204] [INFO] - G_C_ID = 1029384-36974从表SUM数据共 1 条
[2025-03-14 21:36:19,297] [INFO] - G_C_ID = 1029277-36964从表数据共 3 条
[2025-03-14 21:36:19,304] [INFO] - G_C_ID = 1029277-36964从表SUM数据共 1 条
[2025-03-14 21:36:19,395] [INFO] - G_C_ID = 1029278-36965从表数据共 4 条
[2025-03-14 21:36:19,405] [INFO] - G_C_ID = 1029278-36965从表SUM数据共 1 条
[2025-03-14 21:36:19,501] [INFO] - G_C_ID = 1029060-36956从表数据共 4 条
[2025-03-14 21:36:19,514] [INFO] - G_C_ID = 1029060-36956从表SUM数据共 1 条
[2025-03-14 21:36:19,609] [INFO] - G_C_ID = 1029373-36973从表数据共 4 条
[2025-03-14 21:36:19,624] [INFO] - G_C_ID = 1029373-36973从表SUM数据共 1 条
[2025-03-14 21:36:19,721] [INFO] - G_C_ID = 1029370-36971从表数据共 6 条
[2025-03-14 21:36:19,740] [INFO] - G_C_ID = 1029370-36971从表SUM数据共 1 条
[2025-03-14 21:36:19,838] [INFO] - G_C_ID = 1029093-1060767从表数据共 8 条
[2025-03-14 21:36:19,850] [INFO] - G_C_ID = 1029093-1060767从表SUM数据共 1 条
[2025-03-14 21:36:19,943] [INFO] - G_C_ID = 1029250-1060768从表数据共 4 条
[2025-03-14 21:36:19,957] [INFO] - G_C_ID = 1029250-1060768从表SUM数据共 1 条
[2025-03-14 21:36:20,059] [INFO] - G_C_ID = 1029375-14890从表数据共 9 条
[2025-03-14 21:36:20,095] [INFO] - G_C_ID = 1029375-14890从表SUM数据共 1 条
[2025-03-14 21:36:20,187] [INFO] - G_C_ID = 1029369-14887从表数据共 3 条
[2025-03-14 21:36:20,197] [INFO] - G_C_ID = 1029369-14887从表SUM数据共 1 条
[2025-03-14 21:36:20,286] [INFO] - G_C_ID = 1029089-14883从表数据共 9 条
[2025-03-14 21:36:20,305] [INFO] - G_C_ID = 1029089-14883从表SUM数据共 1 条
[2025-03-14 21:36:20,401] [INFO] - G_C_ID = 1028844-14875从表数据共 3 条
[2025-03-14 21:36:20,409] [INFO] - G_C_ID = 1028844-14875从表SUM数据共 1 条
[2025-03-14 21:36:20,502] [INFO] - G_C_ID = 1028840-14873从表数据共 3 条
[2025-03-14 21:36:20,514] [INFO] - G_C_ID = 1028840-14873从表SUM数据共 1 条
[2025-03-14 21:36:20,608] [INFO] - G_C_ID = 1028839-14872从表数据共 3 条
[2025-03-14 21:36:20,616] [INFO] - G_C_ID = 1028839-14872从表SUM数据共 1 条
[2025-03-14 21:36:20,730] [INFO] - G_C_ID = 1029372-14888从表数据共 16 条
[2025-03-14 21:36:20,766] [INFO] - G_C_ID = 1029372-14888从表SUM数据共 1 条
[2025-03-14 21:36:20,871] [INFO] - G_C_ID = 1028833-14866从表数据共 3 条
[2025-03-14 21:36:20,878] [INFO] - G_C_ID = 1028833-14866从表SUM数据共 1 条
[2025-03-14 21:36:20,974] [INFO] - G_C_ID = 1029076-14881从表数据共 17 条
[2025-03-14 21:36:21,003] [INFO] - G_C_ID = 1029076-14881从表SUM数据共 1 条
[2025-03-14 21:36:21,106] [INFO] - G_C_ID = 1029362-14885从表数据共 5 条
[2025-03-14 21:36:21,119] [INFO] - G_C_ID = 1029362-14885从表SUM数据共 1 条
[2025-03-14 21:36:21,210] [WARN] - G_C_ID = 1028847-14878 没有对应的从表数据
[2025-03-14 21:36:21,210] [INFO] - G_C_ID = 1028847-14878从表SUM数据共 1 条
[2025-03-14 21:36:21,305] [INFO] - G_C_ID = 1029057-14879从表数据共 2 条
[2025-03-14 21:36:21,318] [INFO] - G_C_ID = 1029057-14879从表SUM数据共 1 条
[2025-03-14 21:36:21,412] [WARN] - G_C_ID = 1029374-14889 没有对应的从表数据
[2025-03-14 21:36:21,412] [INFO] - G_C_ID = 1029374-14889从表SUM数据共 1 条
[2025-03-14 21:36:21,521] [INFO] - G_C_ID = 1028843-14874从表数据共 3 条
[2025-03-14 21:36:21,535] [INFO] - G_C_ID = 1028843-14874从表SUM数据共 1 条
[2025-03-14 21:36:21,635] [INFO] - G_C_ID = 1028834-14867从表数据共 3 条
[2025-03-14 21:36:21,643] [INFO] - G_C_ID = 1028834-14867从表SUM数据共 1 条
[2025-03-14 21:36:21,736] [INFO] - G_C_ID = 1029086-14882从表数据共 3 条
[2025-03-14 21:36:21,747] [INFO] - G_C_ID = 1029086-14882从表SUM数据共 1 条
[2025-03-14 21:36:21,840] [INFO] - G_C_ID = 1029059-14880从表数据共 8 条
[2025-03-14 21:36:21,859] [INFO] - G_C_ID = 1029059-14880从表SUM数据共 1 条
[2025-03-14 21:36:21,952] [INFO] - G_C_ID = 1028838-14871从表数据共 5 条
[2025-03-14 21:36:21,970] [INFO] - G_C_ID = 1028838-14871从表SUM数据共 1 条
[2025-03-14 21:36:22,063] [INFO] - G_C_ID = 1028846-14877从表数据共 3 条
[2025-03-14 21:36:22,076] [INFO] - G_C_ID = 1028846-14877从表SUM数据共 1 条
[2025-03-14 21:36:22,171] [INFO] - G_C_ID = 1028845-14876从表数据共 3 条
[2025-03-14 21:36:22,186] [INFO] - G_C_ID = 1028845-14876从表SUM数据共 1 条
[2025-03-14 21:36:22,280] [INFO] - G_C_ID = 1028835-14868从表数据共 3 条
[2025-03-14 21:36:22,288] [INFO] - G_C_ID = 1028835-14868从表SUM数据共 1 条
[2025-03-14 21:36:22,378] [INFO] - G_C_ID = 1029368-14886从表数据共 12 条
[2025-03-14 21:36:22,399] [INFO] - G_C_ID = 1029368-14886从表SUM数据共 1 条
[2025-03-14 21:36:22,493] [INFO] - G_C_ID = 1028836-14869从表数据共 3 条
[2025-03-14 21:36:22,506] [INFO] - G_C_ID = 1028836-14869从表SUM数据共 1 条
[2025-03-14 21:36:22,602] [INFO] - G_C_ID = 1028837-14870从表数据共 5 条
[2025-03-14 21:36:22,620] [INFO] - G_C_ID = 1028837-14870从表SUM数据共 1 条
